t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
0,1,0,0,0,0,1.2,district road,1.4,11,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2.1,Ring road,14.2,6,5,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2.6,major district road,1.7,5,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.55,district road,0.4,10,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,major district road,1.6,10,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.786,major district road,40,15,6,2731929,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1.6,major district road,1.6,15,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,197,national highway,600,15,6,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,600,national highway,600,3,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,600,national highway,600,10,4,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,600,national highway,600,14,2,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,600,national highway,600,14,2,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,7.9,major district road,6.9,11,5,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.55,flyover,2.4,7,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.593,district road,5.9,5,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.05,flyover,1.2,14,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.9,major district road,2.9,7,2,3656539,165,404,109,23,61,208,51,0,155.3409
0,1,0,0,0,0,15,major district road,10.8,5,6,887978,60,180,42,12,16,109,18,0,66.1623
0,1,0,0,0,0,1.4,district road,2.5,3,6,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,2.3,flyover,7.2,3,3,3656539,165,404,109,23,61,208,51,0,155.3409
0,1,0,0,0,0,3.6,flyover,0.9,14,2,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,3.5,flyover,2.8,3,4,1709346,230,446,171,36,91,143,114,0,191.7549
0,1,0,0,0,0,1.9,flyover,24.8,9,4,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,0.26,flyover,4,14,6,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,0.056,flyover,0.85,5,5,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,5.7,district road,5.6,5,4,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,1.9,district road,5.7,3,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,1,flyover,5.6,7,6,142004,20,56,25,1,14,15,18,0,23.5671
0,1,0,0,0,0,2,flyover,0.1,6,6,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.1,flyover,2.9,5,6,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,1,flyover,3,7,6,582320,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,major district road,4.8,6,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2,major district road,1.8,11,6,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.294,major district road,1.3,5,3,2731929,280,595,150,39,0,406,665,0,372.2915
